jugador;equipo;partidos;minutos;puntos;rebotes;asistencias;robos;tapones
DJ SEELEY;MTA;26;526;189;52;67;13;5
GAL MEKEL;MTA;24;383;108;53;80;6;1
GUY PNINI;MTA;29;367;75;46;36;10;0
ITAY SEGEV;MTA;7;59;19;14;1;1;3
JOE ALEXANDER;MTA;17;188;64;25;7;3;4
MAIK ZIRBES;MTA;15;230;122;45;4;5;2
NIMROD LEVI;MTA;5;22;11;3;0;0;0
QUINCY MILLER;MTA;4;77;28;13;3;2;3
SONNY WEEMS;MTA;19;514;221;63;65;18;2
SYLVEN LANDESBERG;MTA;23;354;162;26;12;3;1
VICTOR RUDD;MTA;30;775;302;129;52;21;8
YOGEV OHAYON;MTA;27;484;143;45;74;25;1
DANIEL HACKETT;OLY;11;160;55;17;18;5;0
DIMITRIOS AGRAVANIS;OLY;18;192;74;37;2;8;3
DOMINIC WATERS;OLY;15;182;75;12;25;4;0
ERICK GREEN;OLY;29;599;291;56;29;22;4
GEORGIOS PRINTEZIS;OLY;25;626;324;126;30;17;3
IOANNIS ATHINAIOU;OLY;9;42;3;3;5;0;0
IOANNIS PAPAPETROU;OLY;29;465;128;67;11;15;10
KHEM BIRCH;OLY;30;547;220;180;11;15;28
KOSTAS PAPANIKOLAOU;OLY;30;672;245;139;42;37;13
MATT LOJESKI;OLY;26;557;258;80;42;13;9
NIKOLA MILUTINOV;OLY;29;359;124;95;16;11;22
PATRIC YOUNG;OLY;24;237;68;58;2;8;8
VANGELIS MANTZARIS;OLY;30;706;165;81;66;21;0
VASSILIS SPANOULIS;OLY;26;680;308;48;157;12;0
VASSILIS TOLIOPOULOS;OLY;2;NA;0;0;0;0;0
ALESSANDRO GENTILE;PAO;9;118;29;20;5;3;2
ANTONIS FOTSIS;PAO;22;275;43;54;5;3;2
CHRIS SINGLETON;PAO;30;846;368;180;34;38;33
DEMETRIS NICHOLS;PAO;29;475;123;72;11;10;10
ELEFTHERIOS BOCHORIDIS;PAO;7;29;12;1;0;0;0
IOANNIS BOUROUSIS;PAO;30;547;243;147;32;14;17
JAMES FELDEINE;PAO;30;618;211;34;64;25;8
JAMES GIST;PAO;12;286;114;57;11;14;7
KC RIVERS;PAO;30;811;329;75;20;21;2
KENNY GABRIEL;PAO;21;332;114;63;6;11;7
MIKE JAMES;PAO;22;484;284;47;66;21;2
NICK CALATHES;PAO;30;826;304;121;171;47;5
NIKOS PAPPAS;PAO;26;447;148;44;34;17;2
VASILIS CHARALAMPOPOULOS;PAO;7;29;4;2;0;0;0
ANDRES NOCIONI;RMB;14;87;32;9;4;2;0
ANTHONY RANDOLPH;RMB;28;581;292;149;31;10;29
DONTAYE DRAPER;RMB;23;339;69;28;39;20;1
FELIPE REYES;RMB;27;358;156;82;20;10;10
GUSTAVO AYON;RMB;30;597;283;148;69;29;19
JAYCEE CARROLL;RMB;30;517;261;50;24;7;1
JEFFERY TAYLOR;RMB;24;360;108;46;14;10;3
JONAS MACIULIS;RMB;25;432;159;60;19;20;2
LUKA DONCIC;RMB;29;566;240;128;125;26;6
OTHELLO HUNTER;RMB;30;523;240;143;19;16;8
RUDY FERNANDEZ;RMB;26;641;192;76;91;32;3
SERGIO LLULL;RMB;27;740;434;54;159;23;3
TREY THOMPKINS;RMB;21;261;119;47;4;5;3
ALEKSANDR KARPUKHIN;UNK;1;8;3;0;0;0;0
ANTON PONKRASHOV;UNK;10;203;64;21;38;11;0
ARTEM KLIMENKO;UNK;9;45;11;10;1;0;0
ARTSIOM PARAKHOUSKI;UNK;29;618;327;149;11;10;37
COTY CLARKE;UNK;14;305;86;59;17;8;4
DANILO ANDUSIC;UNK;8;121;40;11;8;4;0
EVGENY VORONOV;UNK;23;350;68;30;13;19;2
KEITH LANGFORD;UNK;28;953;609;96;104;21;6
KOSTAS KAIMAKOGLOU;UNK;19;438;89;65;28;9;3
LATAVIOUS WILLIAMS;UNK;30;520;208;152;16;10;14
MARKO BANIC;UNK;24;322;111;40;7;6;4
ORLANDO JOHNSON;UNK;15;251;114;33;7;4;3
PAUL STOLL;UNK;14;221;51;28;38;14;0
PAVEL ANTIPOV;UNK;28;524;159;55;19;18;5
QUINO COLOM;UNK;25;670;282;98;142;14;1
VADIM PANIN;UNK;26;474;76;53;23;15;2
ANTANAS KAVALIAUSKAS;ZAL;29;340;159;78;13;5;5
ARTURAS MILAKNIS;ZAL;30;634;220;46;31;8;1
AUGUSTO LIMA;ZAL;30;446;139;112;22;17;20
BROCK MOTUM;ZAL;30;694;323;103;16;18;3
EDGARAS ULANOVAS;ZAL;30;732;232;100;45;9;10
ISAIAH HARTENSTEIN;ZAL;5;16;5;4;1;0;0
KEVIN PANGOS;ZAL;30;624;260;54;96;27;0
LEO WESTERMANN;ZAL;30;755;247;96;165;16;1
LUKAS LEKAVICIUS;ZAL;30;543;256;58;104;19;1
PAULIUS JANKUNAS;ZAL;30;709;390;184;44;18;12
PAULIUS VALINSKAS;ZAL;5;9;6;0;2;0;0
RENALDAS SEIBUTIS;ZAL;30;375;74;38;28;10;2
ROBERTAS JAVTOKAS;ZAL;17;124;39;23;4;1;0
